Problem:    ModeloFinal
Rows:       407
Columns:    135 (135 integer, 120 binary)
Non-zeros:  850
Status:     INTEGER OPTIMAL
Objective:  beneficioNeto = 21690 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
                                   0                           1 
   178 unAvionSlot[a2,p2,1]
                                   0                          -0 
   179 unAvionSlot[a2,p2,2]
                                   0                          -0 
   180 unAvionSlot[a2,p2,3]
                                   0                           1 
   181 unAvionSlot[a2,p2,4]
                                   0                           1 
   182 unAvionSlot[a2,p2,5]
                                   0                          -0 
   183 unAvionSlot[a2,p2,6]
                                   0                          -0 
   184 unAvionSlot[a2,p3,1]
                                   0                           1 
   185 unAvionSlot[a2,p3,2]
                                   0                           1 
   186 unAvionSlot[a2,p3,3]
                                   0                           1 
   187 unAvionSlot[a2,p3,4]
                                   0                          -0 
   188 unAvionSlot[a2,p3,5]
                                   0                          -0 
   189 unAvionSlot[a2,p3,6]
                                   0                           1 
   190 unAvionSlot[a2,p4,1]
                                   1                           1 
   191 unAvionSlot[a2,p4,2]
                                   0                          -0 
   192 unAvionSlot[a2,p4,3]
                                   0                          -0 
   193 unAvionSlot[a2,p4,4]
                                   0                          -0 
   194 unAvionSlot[a2,p4,5]
                                   0                           1 
   195 unAvionSlot[a2,p4,6]
                                   0                           1 
   196 unAvionSlot[a3,p1,1]
                                   0                          -0 
   197 unAvionSlot[a3,p1,2]
                                   0                          -0 
   198 unAvionSlot[a3,p1,3]
                                   0                          -0 
   199 unAvionSlot[a3,p1,4]
                                   0                          -0 
   200 unAvionSlot[a3,p1,5]
                                   0                           1 
   201 unAvionSlot[a3,p1,6]
                                   0                           1 
   202 unAvionSlot[a3,p2,1]
                                   0                          -0 
   203 unAvionSlot[a3,p2,2]
                                   0                          -0 
   204 unAvionSlot[a3,p2,3]
                                   0                           1 
   205 unAvionSlot[a3,p2,4]
                                   1                           1 
   206 unAvionSlot[a3,p2,5]
                                   0                          -0 
   207 unAvionSlot[a3,p2,6]
                                   0                          -0 
   208 unAvionSlot[a3,p3,1]
                                   0                           1 
   209 unAvionSlot[a3,p3,2]
                                   0                           1 
   210 unAvionSlot[a3,p3,3]
                                   0                           1 
   211 unAvionSlot[a3,p3,4]
                                   0                          -0 
   212 unAvionSlot[a3,p3,5]
                                   0                          -0 
   213 unAvionSlot[a3,p3,6]
                                   0                           1 
   214 unAvionSlot[a3,p4,1]
                                   0                           1 
   215 unAvionSlot[a3,p4,2]
                                   0                          -0 
   216 unAvionSlot[a3,p4,3]
                                   0                          -0 
   217 unAvionSlot[a3,p4,4]
                                   0                          -0 
   218 unAvionSlot[a3,p4,5]
                                   0                           1 
   219 unAvionSlot[a3,p4,6]
                                   0                           1 
   220 unAvionSlot[a4,p1,1]
                                   0                          -0 
   221 unAvionSlot[a4,p1,2]
                                   0                          -0 
   222 unAvionSlot[a4,p1,3]
                                   0                          -0 
   223 unAvionSlot[a4,p1,4]
                                   0                          -0 
   224 unAvionSlot[a4,p1,5]
                                   1                           1 
   225 unAvionSlot[a4,p1,6]
                                   0                           1 
   226 unAvionSlot[a4,p2,1]
                                   0                          -0 
   227 unAvionSlot[a4,p2,2]
                                   0                          -0 
   228 unAvionSlot[a4,p2,3]
                                   0                           1 
   229 unAvionSlot[a4,p2,4]
                                   0                           1 
   230 unAvionSlot[a4,p2,5]
                                   0                          -0 
   231 unAvionSlot[a4,p2,6]
                                   0                          -0 
   232 unAvionSlot[a4,p3,1]
                                   0                           1 
   233 unAvionSlot[a4,p3,2]
                                   0                           1 
   234 unAvionSlot[a4,p3,3]
                                   0                           1 
   235 unAvionSlot[a4,p3,4]
                                   0                          -0 
   236 unAvionSlot[a4,p3,5]
                                   0                          -0 
   237 unAvionSlot[a4,p3,6]
                                   0                           1 
   238 unAvionSlot[a4,p4,1]
                                   0                           1 
   239 unAvionSlot[a4,p4,2]
                                   0                          -0 
   240 unAvionSlot[a4,p4,3]
                                   0                          -0 
   241 unAvionSlot[a4,p4,4]
                                   0                          -0 
   242 unAvionSlot[a4,p4,5]
                                   0                           1 
   243 unAvionSlot[a4,p4,6]
                                   0                           1 
   244 unAvionSlot[a5,p1,1]
                                   0                          -0 
   245 unAvionSlot[a5,p1,2]
                                   0                          -0 
   246 unAvionSlot[a5,p1,3]
                                   0                          -0 
   247 unAvionSlot[a5,p1,4]
                                   0                          -0 
   248 unAvionSlot[a5,p1,5]
                                   0                           1 
   249 unAvionSlot[a5,p1,6]
                                   0                           1 
   250 unAvionSlot[a5,p2,1]
                                   0                          -0 
   251 unAvionSlot[a5,p2,2]
                                   0                          -0 
   252 unAvionSlot[a5,p2,3]
                                   0                           1 
   253 unAvionSlot[a5,p2,4]
                                   0                           1 
   254 unAvionSlot[a5,p2,5]
                                   0                          -0 
   255 unAvionSlot[a5,p2,6]
                                   0                          -0 
   256 unAvionSlot[a5,p3,1]
                                   0                           1 
   257 unAvionSlot[a5,p3,2]
                                   0                           1 
   258 unAvionSlot[a5,p3,3]
                                   0                           1 
   259 unAvionSlot[a5,p3,4]
                                   0                          -0 
   260 unAvionSlot[a5,p3,5]
                                   0                          -0 
   261 unAvionSlot[a5,p3,6]
                                   0                           1 
   262 unAvionSlot[a5,p4,1]
                                   0                           1 
   263 unAvionSlot[a5,p4,2]
                                   0                          -0 
   264 unAvionSlot[a5,p4,3]
                                   0                          -0 
   265 unAvionSlot[a5,p4,4]
                                   0                          -0 
   266 unAvionSlot[a5,p4,5]
                                   0                           1 
   267 unAvionSlot[a5,p4,6]
                                   1                           1 
   268 limiteHorario[a1,p1,1]
                                   0                          75 
   269 limiteHorario[a1,p1,2]
                                   0                          75 
   270 limiteHorario[a1,p1,3]
                                   0                          75 
   271 limiteHorario[a1,p1,4]
                                   0                          75 
   272 limiteHorario[a1,p1,5]
                                   0                          75 
   273 limiteHorario[a1,p1,6]
                                   0                          75 
   274 limiteHorario[a1,p2,1]
                                   0                          75 
   275 limiteHorario[a1,p2,2]
                                   0                          75 
   276 limiteHorario[a1,p2,3]
                                   0                          75 
   277 limiteHorario[a1,p2,4]
                                   0                          75 
   278 limiteHorario[a1,p2,5]
                                   0                          75 
   279 limiteHorario[a1,p2,6]
                                   0                          75 
   280 limiteHorario[a1,p3,1]
                                   0                          75 
   281 limiteHorario[a1,p3,2]
                                  15                          75 
   282 limiteHorario[a1,p3,3]
                                   0                          75 
   283 limiteHorario[a1,p3,4]
                                   0                          75 
   284 limiteHorario[a1,p3,5]
                                   0                          75 
   285 limiteHorario[a1,p3,6]
                                   0                          75 
   286 limiteHorario[a1,p4,1]
                                   0                          75 
   287 limiteHorario[a1,p4,2]
                                   0                          75 
   288 limiteHorario[a1,p4,3]
                                   0                          75 
   289 limiteHorario[a1,p4,4]
                                   0                          75 
   290 limiteHorario[a1,p4,5]
                                   0                          75 
   291 limiteHorario[a1,p4,6]
                                   0                          75 
   292 limiteHorario[a2,p1,1]
                                   0                          30 
   293 limiteHorario[a2,p1,2]
                                   0                          30 
   294 limiteHorario[a2,p1,3]
                                   0                          30 
   295 limiteHorario[a2,p1,4]
                                   0                          30 
   296 limiteHorario[a2,p1,5]
                                   0                          30 
   297 limiteHorario[a2,p1,6]
                                   0                          30 
   298 limiteHorario[a2,p2,1]
                                   0                          30 
   299 limiteHorario[a2,p2,2]
                                   0                          30 
   300 limiteHorario[a2,p2,3]
                                   0                          30 
   301 limiteHorario[a2,p2,4]
                                   0                          30 
   302 limiteHorario[a2,p2,5]
                                   0                          30 
   303 limiteHorario[a2,p2,6]
                                   0                          30 
   304 limiteHorario[a2,p3,1]
                                   0                          30 
   305 limiteHorario[a2,p3,2]
                                   0                          30 
   306 limiteHorario[a2,p3,3]
                                   0                          30 
   307 limiteHorario[a2,p3,4]
                                   0                          30 
   308 limiteHorario[a2,p3,5]
                                   0                          30 
   309 limiteHorario[a2,p3,6]
                                   0                          30 
   310 limiteHorario[a2,p4,1]
                                   0                          30 
   311 limiteHorario[a2,p4,2]
                                   0                          30 
   312 limiteHorario[a2,p4,3]
                                   0                          30 
   313 limiteHorario[a2,p4,4]
                                   0                          30 
   314 limiteHorario[a2,p4,5]
                                   0                          30 
   315 limiteHorario[a2,p4,6]
                                   0                          30 
   316 limiteHorario[a3,p1,1]
                                   0                          60 
   317 limiteHorario[a3,p1,2]
                                   0                          60 
   318 limiteHorario[a3,p1,3]
                                   0                          60 
   319 limiteHorario[a3,p1,4]
                                   0                          60 
   320 limiteHorario[a3,p1,5]
                                   0                          60 
   321 limiteHorario[a3,p1,6]
                                   0                          60 
   322 limiteHorario[a3,p2,1]
                                   0                          60 
   323 limiteHorario[a3,p2,2]
                                   0                          60 
   324 limiteHorario[a3,p2,3]
                                   0                          60 
   325 limiteHorario[a3,p2,4]
                                  45                          60 
   326 limiteHorario[a3,p2,5]
                                   0                          60 
   327 limiteHorario[a3,p2,6]
                                   0                          60 
   328 limiteHorario[a3,p3,1]
                                   0                          60 
   329 limiteHorario[a3,p3,2]
                                   0                          60 
   330 limiteHorario[a3,p3,3]
                                   0                          60 
   331 limiteHorario[a3,p3,4]
                                   0                          60 
   332 limiteHorario[a3,p3,5]
                                   0                          60 
   333 limiteHorario[a3,p3,6]
                                   0                          60 
   334 limiteHorario[a3,p4,1]
                                   0                          60 
   335 limiteHorario[a3,p4,2]
                                   0                          60 
   336 limiteHorario[a3,p4,3]
                                   0                          60 
   337 limiteHorario[a3,p4,4]
                                   0                          60 
   338 limiteHorario[a3,p4,5]
                                   0                          60 
   339 limiteHorario[a3,p4,6]
                                   0                          60 
   340 limiteHorario[a4,p1,1]
                                   0                          75 
   341 limiteHorario[a4,p1,2]
                                   0                          75 
   342 limiteHorario[a4,p1,3]
                                   0                          75 
   343 limiteHorario[a4,p1,4]
                                   0                          75 
   344 limiteHorario[a4,p1,5]
                                  60                          75 
   345 limiteHorario[a4,p1,6]
                                   0                          75 
   346 limiteHorario[a4,p2,1]
                                   0                          75 
   347 limiteHorario[a4,p2,2]
                                   0                          75 
   348 limiteHorario[a4,p2,3]
                                   0                          75 
   349 limiteHorario[a4,p2,4]
                                   0                          75 
   350 limiteHorario[a4,p2,5]
                                   0                          75 
   351 limiteHorario[a4,p2,6]
                                   0                          75 
   352 limiteHorario[a4,p3,1]
                                   0                          75 
   353 limiteHorario[a4,p3,2]
                                   0                          75 
   354 limiteHorario[a4,p3,3]
                                   0                          75 
   355 limiteHorario[a4,p3,4]
                                   0                          75 
   356 limiteHorario[a4,p3,5]
                                   0                          75 
   357 limiteHorario[a4,p3,6]
                                   0                          75 
   358 limiteHorario[a4,p4,1]
                                   0                          75 
   359 limiteHorario[a4,p4,2]
                                   0                          75 
   360 limiteHorario[a4,p4,3]
                                   0                          75 
   361 limiteHorario[a4,p4,4]
                                   0                          75 
   362 limiteHorario[a4,p4,5]
                                   0                          75 
   363 limiteHorario[a4,p4,6]
                                   0                          75 
   364 limiteHorario[a5,p1,1]
                                   0                          90 
   365 limiteHorario[a5,p1,2]
                                   0                          90 
   366 limiteHorario[a5,p1,3]
                                   0                          90 
   367 limiteHorario[a5,p1,4]
                                   0                          90 
   368 limiteHorario[a5,p1,5]
                                   0                          90 
   369 limiteHorario[a5,p1,6]
                                   0                          90 
   370 limiteHorario[a5,p2,1]
                                   0                          90 
   371 limiteHorario[a5,p2,2]
                                   0                          90 
   372 limiteHorario[a5,p2,3]
                                   0                          90 
   373 limiteHorario[a5,p2,4]
                                   0                          90 
   374 limiteHorario[a5,p2,5]
                                   0                          90 
   375 limiteHorario[a5,p2,6]
                                   0                          90 
   376 limiteHorario[a5,p3,1]
                                   0                          90 
   377 limiteHorario[a5,p3,2]
                                   0                          90 
   378 limiteHorario[a5,p3,3]
                                   0                          90 
   379 limiteHorario[a5,p3,4]
                                   0                          90 
   380 limiteHorario[a5,p3,5]
                                   0                          90 
   381 limiteHorario[a5,p3,6]
                                   0                          90 
   382 limiteHorario[a5,p4,1]
                                   0                          90 
   383 limiteHorario[a5,p4,2]
                                   0                          90 
   384 limiteHorario[a5,p4,3]
                                   0                          90 
   385 limiteHorario[a5,p4,4]
                                   0                          90 
   386 limiteHorario[a5,p4,5]
                                   0                          90 
   387 limiteHorario[a5,p4,6]
                                  75                          90 
   388 slotsContiguos[p1,2]
                                   0                           1 
   389 slotsContiguos[p1,3]
                                   0                           1 
   390 slotsContiguos[p1,4]
                                   0                           1 
   391 slotsContiguos[p1,5]
                                   1                           1 
   392 slotsContiguos[p1,6]
                                   1                           1 
   393 slotsContiguos[p2,2]
                                   0                           1 
   394 slotsContiguos[p2,3]
                                   0                           1 
   395 slotsContiguos[p2,4]
                                   1                           1 
   396 slotsContiguos[p2,5]
                                   1                           1 
   397 slotsContiguos[p2,6]
                                   0                           1 
   398 slotsContiguos[p3,2]
                                   1                           1 
   399 slotsContiguos[p3,3]
                                   1                           1 
   400 slotsContiguos[p3,4]
                                   0                           1 
   401 slotsContiguos[p3,5]
                                   0                           1 
   402 slotsContiguos[p3,6]
                                   0                           1 
   403 slotsContiguos[p4,2]
                                   1                           1 
   404 slotsContiguos[p4,3]
                                   0                           1 
   405 slotsContiguos[p4,4]
                                   0                           1 
   406 slotsContiguos[p4,5]
                                   0                           1 
   407 slotsContiguos[p4,6]
                                   1                           1 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 units[estandar,a1]
                    *             19             0               
     2 units[leisure_plus,a1]
                    *             58             0               
     3 units[business_plus,a1]
                    *             13             0               
     4 units[estandar,a2]
                    *             38             0               
     5 units[leisure_plus,a2]
                    *             31             0               
     6 units[business_plus,a2]
                    *             51             0               
     7 units[estandar,a3]
                    *            160             0               
     8 units[leisure_plus,a3]
                    *             23             0               
     9 units[business_plus,a3]
                    *             17             0               
    10 units[estandar,a4]
                    *            100             0               
    11 units[leisure_plus,a4]
                    *             20             0               
    12 units[business_plus,a4]
                    *             30             0               
    13 units[estandar,a5]
                    *            133             0               
    14 units[leisure_plus,a5]
                    *             21             0               
    15 units[business_plus,a5]
                    *             36             0               
    16 asignacionSlot[a1,p1,1]
                    *              0             0             1 
    17 asignacionSlot[a1,p1,2]
                    *              0             0             1 
    18 asignacionSlot[a1,p1,3]
                    *              0             0             1 
    19 asignacionSlot[a1,p1,4]
                    *              0             0             1 
    20 asignacionSlot[a1,p1,5]
                    *              0             0             1 
    21 asignacionSlot[a1,p1,6]
                    *              0             0             1 
    22 asignacionSlot[a1,p2,1]
                    *              0             0             1 
    23 asignacionSlot[a1,p2,2]
                    *              0             0             1 
    24 asignacionSlot[a1,p2,3]
                    *              0             0             1 
    25 asignacionSlot[a1,p2,4]
                    *              0             0             1 
    26 asignacionSlot[a1,p2,5]
                    *              0             0             1 
    27 asignacionSlot[a1,p2,6]
                    *              0             0             1 
    28 asignacionSlot[a1,p3,1]
                    *              0             0             1 
    29 asignacionSlot[a1,p3,2]
                    *              1             0             1 
    30 asignacionSlot[a1,p3,3]
                    *              0             0             1 
    31 asignacionSlot[a1,p3,4]
                    *              0             0             1 
    32 asignacionSlot[a1,p3,5]
                    *              0             0             1 
    33 asignacionSlot[a1,p3,6]
                    *              0             0             1 
    34 asignacionSlot[a1,p4,1]
                    *              0             0             1 
    35 asignacionSlot[a1,p4,2]
                    *              0             0             1 
    36 asignacionSlot[a1,p4,3]
                    *              0             0             1 
    37 asignacionSlot[a1,p4,4]
                    *              0             0             1 
    38 asignacionSlot[a1,p4,5]
                    *              0             0             1 
    39 asignacionSlot[a1,p4,6]
                    *              0             0             1 
    40 asignacionSlot[a2,p1,1]
                    *              0             0             1 
    41 asignacionSlot[a2,p1,2]
                    *              0             0             1 
    42 asignacionSlot[a2,p1,3]
                    *              0             0             1 
    43 asignacionSlot[a2,p1,4]
                    *              0             0             1 
    44 asignacionSlot[a2,p1,5]
                    *              0             0             1 
    45 asignacionSlot[a2,p1,6]
                    *              0             0             1 
    46 asignacionSlot[a2,p2,1]
                    *              0             0             1 
    47 asignacionSlot[a2,p2,2]
                    *              0             0             1 
    48 asignacionSlot[a2,p2,3]
                    *              0             0             1 
    49 asignacionSlot[a2,p2,4]
                    *              0             0             1 
    50 asignacionSlot[a2,p2,5]
                    *              0             0             1 
    51 asignacionSlot[a2,p2,6]
                    *              0             0             1 
    52 asignacionSlot[a2,p3,1]
                    *              0             0             1 
    53 asignacionSlot[a2,p3,2]
                    *              0             0             1 
    54 asignacionSlot[a2,p3,3]
                    *              0             0             1 
    55 asignacionSlot[a2,p3,4]
                    *              0             0             1 
    56 asignacionSlot[a2,p3,5]
                    *              0             0             1 
    57 asignacionSlot[a2,p3,6]
                    *              0             0             1 
    58 asignacionSlot[a2,p4,1]
                    *              1             0             1 
    59 asignacionSlot[a2,p4,2]
                    *              0             0             1 
    60 asignacionSlot[a2,p4,3]
                    *              0             0             1 
    61 asignacionSlot[a2,p4,4]
                    *              0             0             1 
    62 asignacionSlot[a2,p4,5]
                    *              0             0             1 
    63 asignacionSlot[a2,p4,6]
                    *              0             0             1 
    64 asignacionSlot[a3,p1,1]
                    *              0             0             1 
    65 asignacionSlot[a3,p1,2]
                    *              0             0             1 
    66 asignacionSlot[a3,p1,3]
                    *              0             0             1 
    67 asignacionSlot[a3,p1,4]
                    *              0             0             1 
    68 asignacionSlot[a3,p1,5]
                    *              0             0             1 
    69 asignacionSlot[a3,p1,6]
                    *              0             0             1 
    70 asignacionSlot[a3,p2,1]
                    *              0             0             1 
    71 asignacionSlot[a3,p2,2]
                    *              0             0             1 
